t,x,y,vx,vy
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.236067865696399063e-04
1.000000000000000048e-04,9.999999987500000076e-01,2.236067864764704354e-08,-2.500000002083333219e-05,2.236067862901314207e-04
4.000000000000000192e-04,9.999999799999998995e-01,8.944271403157120469e-08,-1.000000013333329849e-04,2.236067820975040556e-04
1.300000000000000157e-03,9.999997887499851856e-01,2.906888020711905380e-07,-3.250000457708302534e-04,2.236067393326929406e-04
4.000000000000000083e-03,9.999979999986666757e-01,8.944265499928419642e-07,-1.000001333335867083e-03,2.236063393548741983e-04
1.209999999999999964e-02,9.999816986383532891e-01,2.705625611706840341e-06,-3.025036908252919099e-03,2.236026941860760724e-04
3.640000000000000180e-02,9.998343708555723630e-01,8.138837628713710409e-06,-9.101004944154328716e-03,2.235697446336648011e-04
1.092999999999999944e-01,9.985059446151367535e-01,2.442804160454735977e-05,-2.735224792340879008e-02,2.232722057606386702e-04
2.928382123290380057e-01,9.892421194141945984e-01,6.524461565119664939e-05,-7.373897666978573850e-02,2.211750905760829795e-04
4.584007267511469030e-01,9.734990831782700527e-01,1.015846853688387712e-04,-1.166669170261620397e-01,2.175196855799862571e-04
6.004715922817140950e-01,9.542287293693273442e-01,1.321760407716755488e-04,-1.548657138643137754e-01,2.128810874970086858e-04
7.267958477630275249e-01,9.324425899225756709e-01,1.587367748990750344e-04,-1.903314153002916287e-01,2.074060039710612586e-04
8.531201032443409549e-01,9.060626617793281490e-01,1.845135421439634573e-04,-2.276800813351241293e-01,2.004240279473768253e-04
9.588729007224773282e-01,8.802500887933163431e-01,2.053386206030499662e-04,-2.608072056698662600e-01,1.931871371962340476e-04
1.064625698200613702e+00,8.508248925476723512e-01,2.253192381545750830e-04,-2.960827513828453439e-01,1.844018057342553831e-04
1.151355522876728266e+00,8.238193673535305628e-01,2.409489734066806428e-04,-3.270002622027328720e-01,1.757866041719025984e-04
1.228186770627556434e+00,7.975851638621798134e-01,2.541205001777079942e-04,-3.562194670530872131e-01,1.668588176001476939e-04
1.305018018378384603e+00,7.690286044525382891e-01,2.665510164764878882e-04,-3.875188749409255728e-01,1.564483242883023782e-04
1.368375206632888030e+00,7.436092301785792724e-01,2.761554224170678922e-04,-4.152061819158025524e-01,1.465088698956719079e-04
1.425091781791505419e+00,7.193169994385122390e-01,2.841830773400449311e-04,-4.417055869994170325e-01,1.363536988539564487e-04
1.481808356950122807e+00,6.934690187595112798e-01,2.915954310926159392e-04,-4.701199170981006370e-01,1.247668811158418600e-04
1.529454034197947676e+00,6.704665660981892206e-01,2.972817852023246438e-04,-4.957311044911470455e-01,1.137043405938999472e-04
1.577099711445772545e+00,6.462004276541200021e-01,3.024072981451594736e-04,-5.232147963378025457e-01,1.011803935788951051e-04
1.616943951450453776e+00,6.248674989714286809e-01,3.062078430760569554e-04,-5.478773664265363941e-01,8.936684970618557827e-05
1.656788191455135006e+00,6.025172014764631490e-01,3.095094338968458285e-04,-5.743272479706721390e-01,7.609257462953303265e-05
1.690311081614173538e+00,5.828686083965380904e-01,3.118543217888584441e-04,-5.981857683919228341e-01,6.358203010085994420e-05
1.723833971773212070e+00,5.623923750473140970e-01,3.137560795674986360e-04,-6.237458884872740805e-01,4.961433178852801747e-05
1.752246417247096844e+00,5.443442571803825958e-01,3.149816437555220190e-04,-6.469438136793397298e-01,3.643165220725785679e-05
1.780658862720981617e+00,5.256145098836595420e-01,3.158125398492507563e-04,-6.717643983520790174e-01,2.179385361166868106e-05
1.804905128408836434e+00,5.090550681519224741e-01,3.161759071408210930e-04,-6.944147884266729243e-01,7.955054568367434230e-06
1.829151394096691252e+00,4.919280576218754697e-01,3.161865587490606758e-04,-7.186157933447990809e-01,-7.338203618381773519e-06
1.849971795613145842e+00,4.767375897857583644e-01,3.158853383573063272e-04,-7.408068918559198579e-01,-2.182175143386418825e-05
1.870792197129600432e+00,4.610699673169741941e-01,3.152677979494943918e-04,-7.644827920605131721e-01,-3.776003893045519775e-05
1.888773233120517814e+00,4.471297714815306024e-01,3.144549243747979872e-04,-7.862845495294413789e-01,-5.288008886877919269e-05
1.906754269111435196e+00,4.327850139379686434e-01,3.133574040943585626e-04,-8.095108417055555394e-01,-6.945580014936323526e-05
1.922365260432979284e+00,4.199818489134388710e-01,3.121519552314809781e-04,-8.309797774635907519e-01,-8.520648184767021368e-05
1.937976251754523371e+00,4.068330577920654112e-01,3.106895136292244452e-04,-8.538179289574909792e-01,-1.024142206994510231e-04
1.951596118057950857e+00,3.950613313604718901e-01,3.091846638957007837e-04,-8.750005466407122512e-01,-1.187915892779406744e-04
1.965215984361378343e+00,3.829922956147164270e-01,3.074470450086271684e-04,-8.975014974164544634e-01,-1.366278052160871989e-04
1.977153098517198782e+00,3.721549603872278955e-01,3.057159883227218082e-04,-9.184367002540317904e-01,-1.536295444338341316e-04
1.989090212673019220e+00,3.610602721124571701e-01,3.037734494070509273e-04,-9.406433506911827669e-01,-1.720922892758783350e-04
1.999597341583742249e+00,3.510689711935061075e-01,3.018738606797409930e-04,-9.613641827993191225e-01,-1.897175094899740812e-04
2.010104470494465279e+00,3.408536182523523306e-01,2.997815547116063962e-04,-9.833131947732680622e-01,-2.088062674990320594e-04
2.019390165582621854e+00,3.316284031712954938e-01,2.977589823360832092e-04,-1.003848125415575998e+00,-2.270553698566000859e-04
2.028675860670778430e+00,3.222070872848709633e-01,2.955602849701328277e-04,-1.025571256604105974e+00,-2.467709417022380500e-04
2.036913237087548456e+00,3.136759076860430873e-01,2.934507514925182290e-04,-1.045945144154420081e+00,-2.656455278319756188e-04
2.045150613504318482e+00,3.049722401666579152e-01,2.911798073600805627e-04,-1.067470254087810044e+00,-2.859899523761633947e-04
2.052484182697578596e+00,2.970703256970806394e-01,2.890118172074786500e-04,-1.087705082956515135e+00,-3.054927680560384014e-04
2.059817751890838711e+00,2.890159900036010643e-01,2.866955024415651383e-04,-1.109056905765414713e+00,-3.264692736446800705e-04
2.066368784506002143e+00,2.816851978103177556e-01,2.844916017533495665e-04,-1.129172357788095216e+00,-3.466041771991839595e-04
2.072919817121165575e+00,2.742191312771121159e-01,2.821510461796488257e-04,-1.150373104207353059e+00,-3.682171549165875351e-04
2.078790584663586127e+00,2.674073023027585538e-01,2.799290417392810270e-04,-1.170387006527632723e+00,-3.889891031365948714e-04
2.084661352206006679e+00,2.604749257122880302e-01,2.775808164079603146e-04,-1.191456837969796068e+00,-4.112440957575597676e-04
2.089938506424578346e+00,2.541352727459051941e-01,2.753547329330675430e-04,-1.211385520555097406e+00,-4.326591456470150164e-04
2.095215660643150013e+00,2.476877804653023762e-01,2.730117811151378817e-04,-1.232342929404880882e+00,-4.555628516800451868e-04
2.100492814861721680e+00,2.411267576733205631e-01,2.705436625505141146e-04,-1.254430832263853768e+00,-4.801272425660335630e-04
2.105037234430786164e+00,2.353809831460850210e-01,2.683108764074809954e-04,-1.274446642985541223e+00,-5.027641044995410187e-04
2.109581653999850648e+00,2.295419876817350602e-01,2.659718066309530501e-04,-1.295472529162875919e+00,-5.269292286672209915e-04
2.113660450006724201e+00,2.242179324386093520e-01,2.637758848055781987e-04,-1.315283823304691957e+00,-5.500602311998209005e-04
2.117739246013597754e+00,2.188111185289243754e-01,2.614825855298399471e-04,-1.336066603819930698e+00,-5.747028046198990976e-04
2.121818042020471307e+00,2.133174030159255830e-01,2.590854168981894089e-04,-1.357911275798993289e+00,-6.010209231980120307e-04
2.125358948336540710e+00,2.084741962353723332e-01,2.569145782448595608e-04,-1.377815748904009707e+00,-6.253731534971951290e-04
2.128899854652610113e+00,2.035588442775686513e-01,2.546548156078717049e-04,-1.398674351417275252e+00,-6.512729673812321348e-04
2.132440760968679516e+00,1.985678188888425344e-01,2.523003669016136985e-04,-1.420573470956761231e+00,-6.788835279612332428e-04
2.135509913842267515e+00,1.941775530676858319e-01,2.501780802205451478e-04,-1.440472279056035809e+00,-7.043440434704666782e-04
2.138579066715855515e+00,1.897248111587203079e-01,2.479752864843280647e-04,-1.461298485914355627e+00,-7.313704693130295862e-04
2.141648219589443514e+00,1.852066246144637163e-01,2.456869401415489804e-04,-1.483133369492998455e+00,-7.601224478842410993e-04
2.144319614584372147e+00,1.812182054289285527e-01,2.436211968737045310e-04,-1.503030828284626974e+00,-7.866945955077225610e-04
2.146991009579300780e+00,1.771754437264879967e-01,2.414823871356742697e-04,-1.523830147783282518e+00,-8.148496887224577307e-04
2.149662404574229413e+00,1.730758300087050783e-01,2.392660781492962478e-04,-1.545607892008900697e+00,-8.447439030857420515e-04
2.151999107237663633e+00,1.694410961965291396e-01,2.372600811387096987e-04,-1.565526883884494680e+00,-8.724580536093537193e-04
2.154335809901097853e+00,1.657588037138170989e-01,2.351874806990486371e-04,-1.586325087417304269e+00,-9.017742106250065202e-04
2.156672512564532074e+00,1.620268150821928266e-01,2.330443581248257338e-04,-1.608074933564741960e+00,-9.328456164885463734e-04
2.158726263872980944e+00,1.587038679819155473e-01,2.310991189133066283e-04,-1.628041049246609084e+00,-9.617413076963595006e-04
2.160780015181429814e+00,1.553390439521577793e-01,2.290928919086944102e-04,-1.648866701295664594e+00,-9.922608672231932308e-04
2.162833766489878684e+00,1.519305083280320101e-01,2.270221902900356912e-04,-1.670620733112571532e+00,-1.024555194226675235e-03
2.164646948143858385e+00,1.488833251764349885e-01,2.251374154895641774e-04,-1.690659514958548604e+00,-1.054677728203294281e-03
2.166460129797838086e+00,1.457990535347317984e-01,2.231965494707075631e-04,-1.711540955365547623e+00,-1.086449089818582441e-03
2.168273311451817786e+00,1.426761069821143590e-01,2.211964700917732349e-04,-1.733330793163034400e+00,-1.120018409690040542e-03
2.169880810109290792e+00,1.398737023367915833e-01,2.193710198629290344e-04,-1.753467346575181773e+00,-1.151418250305508064e-03
2.171488308766763797e+00,1.370382704116195893e-01,2.174937651595776518e-04,-1.774432278147759945e+00,-1.184495179348995543e-03
2.173095807424236803e+00,1.341684297951019067e-01,2.155618934825728316e-04,-1.796288646808581024e+00,-1.219397109223140617e-03
2.174526509523056816e+00,1.315840775165904586e-01,2.137940796796770340e-04,-1.816547649245046303e+00,-1.252129812877274869e-03
2.175957211621876830e+00,1.289701634269880548e-01,2.119782292873897294e-04,-1.837623161563139540e+00,-1.286571350849218193e-03
2.177387913720696844e+00,1.263254766293284148e-01,2.101117941520776438e-04,-1.859575937122387002e+00,-1.322868945074516306e-03
2.178665875964497012e+00,1.239360529005475720e-01,2.083995900332756372e-04,-1.879981685139439529e+00,-1.356995176229664922e-03
2.179943838208297180e+00,1.215200417608677391e-01,2.066426741469694405e-04,-1.901194319718651382e+00,-1.392865648669166850e-03
2.181221800452097348e+00,1.190763751120403197e-01,2.048387252056962417e-04,-1.923272619929693450e+00,-1.430627402144197570e-03
2.182367168202779428e+00,1.168618106176668725e-01,2.031799151101853292e-04,-1.943849064509965974e+00,-1.466212961294946146e-03
2.183512535953461509e+00,1.146232259332763542e-01,2.014793384031712755e-04,-1.965224866615084220e+00,-1.503582001201617200e-03
2.184657903704143589e+00,1.123596733397423525e-01,1.997348694938086270e-04,-1.987457125407522840e+00,-1.542881871305423931e-03
2.185687635598497991e+00,1.103024970625069018e-01,1.981271559574330663e-04,-2.008227884836886634e+00,-1.579997710589101751e-03
2.186717367492852393e+00,1.082235283284767868e-01,1.964802945847945895e-04,-2.029792430167617567e+00,-1.618940269507902026e-03
2.187747099387206795e+00,1.061219215465441235e-01,1.947923294365204092e-04,-2.052206443236902711e+00,-1.659857685288702780e-03
2.188776831281561197e+00,1.039967708797339963e-01,1.930611434629404615e-04,-2.075531378462915022e+00,-1.702915131066454072e-03
2.189675564652150630e+00,1.021219727927123594e-01,1.915130765460981623e-04,-2.096686533129676011e+00,-1.742388020328405939e-03
2.190574298022740063e+00,1.002278083126163649e-01,1.899286876784933749e-04,-2.118637164600888578e+00,-1.783768325810203281e-03
2.191473031393329496e+00,9.831353828748615187e-02,1.883061955845291048e-04,-2.141438065685712822e+00,-1.827207847995113545e-03
2.192371764763918929e+00,9.637837186939927914e-02,1.866436750407655628e-04,-2.165149602511114324e+00,-1.872875509499395772e-03
2.193156491784740592e+00,9.467093475197198293e-02,1.851576858756050388e-04,-2.186650030920004539e+00,-1.914719375210249212e-03
2.193941218805562254e+00,9.294631752643946199e-02,1.836380927563238815e-04,-2.208944326083158938e+00,-1.958544904040240668e-03
2.194725945826383917e+00,9.120387652424263858e-02,1.820832810470416078e-04,-2.232086080725088184e+00,-2.004506580410132365e-03
2.195510672847205580e+00,8.944292396978510695e-02,1.804915083395896777e-04,-2.256134225774266255e+00,-2.052775946619302648e-03
2.196198579308734633e+00,8.788343387534125473e-02,1.790642459921202743e-04,-2.278011913897702634e+00,-2.097138119096384791e-03
2.196886485770263686e+00,8.630862360598988425e-02,1.776057657620331881e-04,-2.300684052938601010e+00,-2.143562934535385607e-03
2.197574392231792739e+00,8.471792882001349945e-02,1.761145953871985290e-04,-2.324203299011124546e+00,-2.192208186432571815e-03
2.198262298693321792e+00,8.311074721916104913e-02,1.745891483089730177e-04,-2.348627453817956567e+00,-2.243248756498696355e-03
2.198867734379120087e+00,8.168209423245759160e-02,1.732168651794378203e-04,-2.370922543003692873e+00,-2.290305919971572304e-03
2.199473170064918381e+00,8.023970403271196705e-02,1.718154481604057256e-04,-2.394015331859901785e+00,-2.339515491779178055e-03
2.200078605750716676e+00,7.878307815577380302e-02,1.703835459059603542e-04,-2.417957834756596203e+00,-2.391039391205073295e-03
2.200684041436514971e+00,7.731168516350432618e-02,1.689197039331766822e-04,-2.442807063217932839e+00,-2.445056772191511827e-03
2.201218807122029109e+00,7.599930679045253934e-02,1.675989140311743197e-04,-2.465559826171700664e+00,-2.495001215761196833e-03
2.201753572807543247e+00,7.467454838428971842e-02,1.662508206021095136e-04,-2.489116067979590063e+00,-2.547197224288013252e-03
2.202288338493057385e+00,7.333696667000517977e-02,1.648741756970212703e-04,-2.513527427377380441e+00,-2.601811676138811487e-03
2.202823104178571523e+00,7.198608947690418591e-02,1.634676375477416086e-04,-2.538850430037352446e+00,-2.659028942537716191e-03
2.203296954876076352e+00,7.077757600591771947e-02,1.621951787096319059e-04,-2.562100416533246605e+00,-2.712067285399943559e-03
2.203770805573581182e+00,6.955785516690117520e-02,1.608970348296384016e-04,-2.586162013703795726e+00,-2.767466199554607324e-03
2.204244656271086011e+00,6.832653035517299855e-02,1.595720471006030093e-04,-2.611086720860520849e+00,-2.825398358373193333e-03
2.204718506968590841e+00,6.708317944566354052e-02,1.582189707514290928e-04,-2.636930846693247066e+00,-2.886054292600242089e-03
2.205139565539169233e+00,6.596789744427439262e-02,1.569919928489642725e-04,-2.660716861602563821e+00,-2.942407800214132552e-03
2.205560624109747625e+00,6.484242882822625897e-02,1.557407707232980314e-04,-2.685324810376711113e+00,-3.001241203038975368e-03
2.205981682680326017e+00,6.370641681572311588e-02,1.544642230470538258e-04,-2.710806263549810247e+00,-3.062733812021364421e-03
2.206402741250904409e+00,6.255948192783394868e-02,1.531611892142996302e-04,-2.737217551578972063e+00,-3.127083262257397776e-03
2.206777820930275968e+00,6.152826404623823464e-02,1.519771280371126491e-04,-2.761577767886056911e+00,-3.186988525485427281e-03
2.207152900609647528e+00,6.048775422739469804e-02,1.507701136918557022e-04,-2.786772294334845412e+00,-3.249503831886288528e-03
2.207527980289019087e+00,5.943762995785219216e-02,1.495391327261336243e-04,-2.812852962111996202e+00,-3.314815985664541775e-03
2.207903059968390647e+00,5.837754841218371210e-02,1.482830981507367004e-04,-2.839876337302492004e+00,-3.383130681673172154e-03
2.208237914835009530e+00,5.742244398171753722e-02,1.471396478448994322e-04,-2.864848399327820871e+00,-3.446840370693322886e-03
2.208572769701628413e+00,5.645883684937514496e-02,1.459744085465781278e-04,-2.890669081845513411e+00,-3.513301620956360474e-03
2.208907624568247297e+00,5.548643422482885113e-02,1.447864267181442918e-04,-2.917390648391424701e+00,-3.582709604476848244e-03
