A,B_over_A,B,time_to_r=1e-4_Myr_or_NaN,hit_flag,time_cap_Myr
5.000000000000000000e-01,5.000000000000000000e-01,2.500000000000000000e-01,5.933707995398117774e+00,1.000000000000000000e+00,1.800000000000000000e+01
5.000000000000000000e-01,1.555555555555555580e+00,7.777777777777777901e-01,1.156492149530107660e+01,1.000000000000000000e+00,2.800000000000000000e+01
5.000000000000000000e-01,2.611111111111111160e+00,1.305555555555555580e+00,1.971883901598986455e+01,1.000000000000000000e+00,4.700000000000000000e+01
5.000000000000000000e-01,3.666666666666666963e+00,1.833333333333333481e+00,2.789280886266579884e+01,1.000000000000000000e+00,6.600000000000000000e+01
5.000000000000000000e-01,4.722222222222222321e+00,2.361111111111111160e+00,3.611343663778730217e+01,1.000000000000000000e+00,8.500000000000000000e+01
5.000000000000000000e-01,5.777777777777777679e+00,2.888888888888888840e+00,4.461653588152193350e+01,1.000000000000000000e+00,1.040000000000000000e+02
5.000000000000000000e-01,6.833333333333333925e+00,3.416666666666666963e+00,5.310649481398644411e+01,1.000000000000000000e+00,1.230000000000000000e+02
5.000000000000000000e-01,7.888888888888889284e+00,3.944444444444444642e+00,6.171838427474162359e+01,1.000000000000000000e+00,1.420000000000000000e+02
5.000000000000000000e-01,8.944444444444444642e+00,4.472222222222222321e+00,7.032587611554613716e+01,1.000000000000000000e+00,1.610000000000000000e+02
5.000000000000000000e-01,1.000000000000000000e+01,5.000000000000000000e+00,7.895337447814331711e+01,1.000000000000000000e+00,1.800000000000000000e+02
7.500000000000000000e-01,5.000000000000000000e-01,3.750000000000000000e-01,5.972736000618493080e+00,1.000000000000000000e+00,1.200000000000000000e+01
7.500000000000000000e-01,1.555555555555555580e+00,1.166666666666666741e+00,1.083417976684830641e+01,1.000000000000000000e+00,1.866666666666666785e+01
7.500000000000000000e-01,2.611111111111111160e+00,1.958333333333333481e+00,1.908691298978083850e+01,1.000000000000000000e+00,3.133333333333333570e+01
7.500000000000000000e-01,3.666666666666666963e+00,2.750000000000000000e+00,2.690130174440390221e+01,1.000000000000000000e+00,4.400000000000000000e+01
7.500000000000000000e-01,4.722222222222222321e+00,3.541666666666666963e+00,3.520685419368358282e+01,1.000000000000000000e+00,5.666666666666667140e+01
7.500000000000000000e-01,5.777777777777777679e+00,4.333333333333333037e+00,4.349741743763864577e+01,1.000000000000000000e+00,6.933333333333331439e+01
7.500000000000000000e-01,6.833333333333333925e+00,5.125000000000000000e+00,5.187641822797232294e+01,1.000000000000000000e+00,8.200000000000000000e+01
7.500000000000000000e-01,7.888888888888889284e+00,5.916666666666666963e+00,6.032262200651541662e+01,1.000000000000000000e+00,9.466666666666667140e+01
7.500000000000000000e-01,8.944444444444444642e+00,6.708333333333333925e+00,6.883435861007863821e+01,1.000000000000000000e+00,1.073333333333333428e+02
7.500000000000000000e-01,1.000000000000000000e+01,7.500000000000000000e+00,7.728462573275601244e+01,1.000000000000000000e+00,1.200000000000000000e+02
1.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.994378675115558330e+00,1.000000000000000000e+00,9.000000000000000000e+00
1.000000000000000000e+00,1.555555555555555580e+00,1.555555555555555580e+00,1.090137976511936557e+01,1.000000000000000000e+00,1.400000000000000000e+01
1.000000000000000000e+00,2.611111111111111160e+00,2.611111111111111160e+00,1.853956931851431023e+01,1.000000000000000000e+00,2.350000000000000000e+01
1.000000000000000000e+00,3.666666666666666963e+00,3.666666666666666963e+00,2.644485426434217956e+01,1.000000000000000000e+00,3.300000000000000000e+01
1.000000000000000000e+00,4.722222222222222321e+00,4.722222222222222321e+00,3.446499465940841844e+01,1.000000000000000000e+00,4.250000000000000000e+01
1.000000000000000000e+00,5.777777777777777679e+00,5.777777777777777679e+00,4.276284024918450655e+01,1.000000000000000000e+00,5.200000000000000000e+01
1.000000000000000000e+00,6.833333333333333925e+00,6.833333333333333925e+00,5.110191029714403754e+01,1.000000000000000000e+00,6.150000000000000000e+01
1.000000000000000000e+00,7.888888888888889284e+00,7.888888888888889284e+00,5.948602158974107823e+01,1.000000000000000000e+00,7.100000000000000000e+01
1.000000000000000000e+00,8.944444444444444642e+00,8.944444444444444642e+00,6.786601907767652619e+01,1.000000000000000000e+00,8.050000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,7.621853523225266258e+01,1.000000000000000000e+00,9.000000000000000000e+01
1.500000000000000000e+00,5.000000000000000000e-01,7.500000000000000000e-01,6.018124834333180573e+00,1.000000000000000000e+00,9.000000000000000000e+00
1.500000000000000000e+00,1.555555555555555580e+00,2.333333333333333481e+00,1.027094803327131345e+01,1.000000000000000000e+00,1.400000000000000000e+01
1.500000000000000000e+00,2.611111111111111160e+00,3.916666666666666963e+00,1.800105896733213484e+01,1.000000000000000000e+00,2.350000000000000000e+01
1.500000000000000000e+00,3.666666666666666963e+00,5.500000000000000000e+00,2.582945427119648585e+01,1.000000000000000000e+00,3.300000000000000000e+01
1.500000000000000000e+00,4.722222222222222321e+00,7.083333333333333925e+00,3.373914294622608168e+01,1.000000000000000000e+00,4.250000000000000000e+01
1.500000000000000000e+00,5.777777777777777679e+00,8.666666666666666075e+00,4.184417062970325674e+01,1.000000000000000000e+00,5.200000000000000000e+01
1.500000000000000000e+00,6.833333333333333925e+00,1.025000000000000000e+01,5.010291689067976506e+01,1.000000000000000000e+00,6.150000000000000000e+01
1.500000000000000000e+00,7.888888888888889284e+00,1.183333333333333393e+01,5.831790000389374740e+01,1.000000000000000000e+00,7.100000000000000000e+01
1.500000000000000000e+00,8.944444444444444642e+00,1.341666666666666785e+01,6.658085960984118401e+01,1.000000000000000000e+00,8.050000000000000000e+01
1.500000000000000000e+00,1.000000000000000000e+01,1.500000000000000000e+01,7.482654859834502759e+01,1.000000000000000000e+00,9.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00,6.031104777424058483e+00,1.000000000000000000e+00,9.000000000000000000e+00
2.000000000000000000e+00,1.555555555555555580e+00,3.111111111111111160e+00,1.026766029459405161e+01,1.000000000000000000e+00,1.400000000000000000e+01
2.000000000000000000e+00,2.611111111111111160e+00,5.222222222222222321e+00,1.758700572445861354e+01,1.000000000000000000e+00,2.350000000000000000e+01
2.000000000000000000e+00,3.666666666666666963e+00,7.333333333333333925e+00,2.537314225868384909e+01,1.000000000000000000e+00,3.300000000000000000e+01
2.000000000000000000e+00,4.722222222222222321e+00,9.444444444444444642e+00,3.325017798968088556e+01,1.000000000000000000e+00,4.250000000000000000e+01
2.000000000000000000e+00,5.777777777777777679e+00,1.155555555555555536e+01,4.128816558566005313e+01,1.000000000000000000e+00,5.200000000000000000e+01
2.000000000000000000e+00,6.833333333333333925e+00,1.366666666666666785e+01,4.940864265453633664e+01,1.000000000000000000e+00,6.150000000000000000e+01
2.000000000000000000e+00,7.888888888888889284e+00,1.577777777777777857e+01,5.756109288073967889e+01,1.000000000000000000e+00,7.100000000000000000e+01
2.000000000000000000e+00,8.944444444444444642e+00,1.788888888888888928e+01,6.572890752772426026e+01,1.000000000000000000e+00,8.050000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+01,7.387472908820987527e+01,1.000000000000000000e+00,9.000000000000000000e+01
